uid,location,age
81884,united kingdom,24.0
81886,new zealand,35.0
81887,oman,27.0
81888,sweden,46.0
81889,usa,62.0
81890,united kingdom,32.0
81891,usa,52.0
81892,usa,18.0
81893,usa,13.0
81894,canada,54.0
81895,usa,48.0
81896,usa,54.0
81900,usa,52.0
81902,usa,14.0
81903,usa,45.0
81904,usa,41.0
81905,united kingdom,28.0
81906,usa,33.0
81907,usa,35.0
81911,usa,19.0
81913,usa,79.0
81914,philippines,40.0
81915,united kingdom,57.0
81916,usa,42.0
81917,usa,30.0
81918,united kingdom,34.0
81919,turkey,35.0
81920,canada,70.0
81922,usa,44.0
81923,united kingdom,25.0
81925,usa,33.0
81926,china,27.0
81928,usa,52.0
81929,germany,37.0
81930,spain,30.0
81931,canada,33.0
81932,usa,33.0
81934,usa,25.0
81935,usa,16.0
81936,usa,42.0
81937,france,25.0
81938,st. helena,28.0
81939,united kingdom,18.0
81940,australia,28.0
81941,denmark,35.0
81942,netherlands,39.0
81943,usa,18.0
81944,switzerland,30.0
81946,usa,49.0
81947,usa,23.0
81948,spain,50.0
81949,usa,33.0
81951,australia,27.0
81952,usa,63.0
81953,usa,36.0
81954,germany,28.0
81957,germany,38.0
81958,germany,24.0
81959,usa,31.0
81962,usa,50.0
81963,usa,28.0
81964,australia,30.0
81965,usa,13.0
81966,ireland,14.0
81967,austria,17.0
81972,argentina,20.0
81973,italy,27.0
81974,usa,53.0
81978,canada,29.0
81983,canada,62.0
81984,usa,19.0
81985,belgium,26.0
81986,usa,32.0
81987,iran,19.0
81989,united kingdom,24.0
81990,united kingdom,22.0
81991,australia,47.0
81992,usa,48.0
81993,spain,24.0
81994,ireland,32.0
81995,united kingdom,20.0
81996,australia,37.0
81997,united kingdom,16.0
81998,united kingdom,29.0
81999,spain,27.0
82000,usa,65.0
82002,usa,29.0
82003,new zealand,15.0
82004,germany,32.0
82005,germany,35.0
82008,united kingdom,73.0
82010,australia,61.0
82011,united kingdom,45.0
82012,usa,22.0
82013,germany,35.0
82014,usa,20.0
82015,usa,14.0
82016,united kingdom,28.0
82017,japan,23.0
82018,germany,24.0
82019,germany,48.0
82021,usa,44.0
82022,usa,51.0
82024,united kingdom,59.0
82025,united kingdom,32.0
82026,usa,39.0
82027,australia,43.0
82028,brazil,39.0
82029,italy,44.0
82030,spain,30.0
82031,usa,43.0
82033,brazil,35.0
82034,france,28.0
82035,portugal,20.0
82036,italy,50.0
82037,italy,24.0
82039,italy,49.0
82040,brazil,29.0
82041,united kingdom,38.0
82042,usa,3.0
82043,australia,52.0
82044,usa,17.0
82047,usa,56.0
82049,germany,22.0
82050,sweden,35.0
82054,usa,37.0
82055,usa,12.0
82056,germany,23.0
82058,united kingdom,22.0
82060,usa,55.0
82061,usa,54.0
82062,usa,33.0
82063,brazil,23.0
82064,usa,33.0
82066,usa,62.0
82067,usa,57.0
82069,germany,20.0
82070,united kingdom,70.0
82071,canada,32.0
82072,spain,19.0
82073,cuba,27.0
82076,canada,46.0
82077,canada,21.0
82078,usa,56.0
82079,united kingdom,56.0
82081,australia,16.0
82083,usa,27.0
82084,germany,18.0
82085,canada,23.0
82087,new zealand,50.0
82088,germany,53.0
82089,usa,48.0
82090,germany,23.0
82093,germany,28.0
82095,usa,44.0
82097,usa,51.0
82098,denmark,33.0
82099,usa,47.0
82100,germany,40.0
82101,usa,22.0
82103,usa,37.0
82104,united kingdom,26.0
82105,united kingdom,20.0
82106,new zealand,45.0
82107,usa,30.0
82108,usa,58.0
82109,canada,29.0
82110,usa,57.0
82111,usa,49.0
82112,united kingdom,51.0
82113,usa,28.0
82114,usa,36.0
82117,united kingdom,31.0
82119,canada,19.0
82121,france,27.0
82124,usa,20.0
82125,netherlands,21.0
82126,usa,31.0
82129,germany,26.0
82132,canada,21.0
82133,canada,53.0
82135,france,24.0
82136,germany,27.0
82137,germany,42.0
82139,canada,24.0
82140,usa,27.0
82143,usa,71.0
82146,usa,17.0
82148,usa,16.0
82149,united kingdom,44.0
82150,italy,37.0
82151,australia,15.0
82152,usa,25.0
82153,usa,23.0
82154,usa,32.0
82155,usa,58.0
82157,usa,41.0
82158,usa,57.0
82160,usa,52.0
82161,canada,34.0
82162,usa,33.0
82163,usa,29.0
82165,brazil,57.0
82166,germany,56.0
82168,germany,34.0
82169,australia,28.0
82170,canada,26.0
82173,usa,34.0
82174,canada,32.0
82176,united kingdom,21.0
82177,united kingdom,26.0
82178,usa,21.0
82179,india,50.0
82180,usa,17.0
82181,united kingdom,47.0
82183,australia,18.0
82184,luxembourg,35.0
82185,germany,40.0
82187,germany,62.0
82188,usa,34.0
82190,germany,29.0
82193,united kingdom,34.0
82195,canada,36.0
82196,united kingdom,32.0
82197,usa,61.0
82199,usa,29.0
82200,usa,56.0
82201,canada,57.0
82202,new zealand,15.0
82205,usa,24.0
82206,italy,29.0
82207,australia,43.0
82208,usa,49.0
82210,brazil,36.0
82212,germany,22.0
82213,italy,51.0
82214,switzerland,19.0
82215,usa,33.0
82216,usa,27.0
82217,usa,41.0
82218,usa,34.0
82219,canada,39.0
82221,germany,25.0
82222,germany,22.0
82223,usa,20.0
82224,germany,23.0
82225,germany,21.0
82226,germany,20.0
82228,portugal,28.0
82229,usa,37.0
82231,usa,41.0
82233,australia,49.0
82235,portugal,30.0
82236,usa,29.0
82237,usa,14.0
82238,usa,40.0
82239,usa,33.0
82240,united kingdom,23.0
82241,canada,57.0
82242,usa,31.0
82243,usa,24.0
82245,usa,40.0
82246,united kingdom,22.0
82248,new zealand,33.0
82249,united kingdom,70.0
82250,usa,28.0
82251,usa,40.0
82252,germany,21.0
82256,new zealand,32.0
82257,canada,15.0
82259,usa,30.0
82260,germany,37.0
82262,canada,32.0
82263,usa,43.0
82264,usa,26.0
82265,united kingdom,32.0
82267,china,47.0
82268,usa,17.0
82269,usa,42.0
82270,usa,19.0
82272,usa,43.0
82273,canada,61.0
82275,spain,44.0
82276,united kingdom,18.0
82277,united kingdom,30.0
82278,usa,63.0
82279,usa,26.0
82281,canada,104.0
82282,usa,25.0
82285,germany,23.0
82286,italy,62.0
82288,usa,30.0
82289,canada,14.0
82290,usa,13.0
82291,united kingdom,38.0
82292,usa,32.0
82293,usa,49.0
82294,usa,38.0
82295,usa,45.0
82297,usa,49.0
82298,usa,46.0
82300,germany,17.0
82301,united kingdom,31.0
82302,germany,30.0
82303,united kingdom,31.0
82304,portugal,51.0
82306,canada,22.0
82307,usa,20.0
82309,afghanistan,71.0
82310,usa,31.0
82312,france,16.0
82313,germany,13.0
82314,spain,35.0
82315,germany,27.0
82316,croatia,17.0
82319,sweden,47.0
82320,france,40.0
82321,new zealand,17.0
82322,usa,21.0
82323,usa,63.0
82324,germany,20.0
82327,romania,33.0
82328,brazil,29.0
82329,france,49.0
82330,usa,36.0
82331,usa,26.0
82332,germany,38.0
82333,austria,33.0
82334,germany,31.0
82336,germany,33.0
82339,brazil,27.0
82340,germany,30.0
82342,austria,23.0
82346,usa,55.0
82347,australia,62.0
82349,usa,48.0
82351,united kingdom,84.0
82352,switzerland,24.0
82353,germany,53.0
82354,usa,35.0
82355,australia,51.0
82356,usa,23.0
82357,france,30.0
82358,germany,36.0
82359,usa,75.0
82361,usa,27.0
82363,switzerland,24.0
82364,united kingdom,18.0
82365,germany,30.0
82366,usa,31.0
82367,sweden,54.0
82368,canada,37.0
82369,france,14.0
82370,united kingdom,58.0
82371,united kingdom,24.0
82372,usa,33.0
82373,france,23.0
82374,united kingdom,27.0
82375,usa,33.0
82377,usa,19.0
82378,united kingdom,56.0
82380,germany,25.0
82382,portugal,25.0
82383,argentina,38.0
82384,canada,45.0
82385,germany,32.0
82387,portugal,27.0
82388,germany,20.0
82389,usa,30.0
82390,philippines,20.0
82392,usa,16.0
82393,united kingdom,57.0
82395,romania,47.0
82396,italy,25.0
82399,usa,20.0
82400,united kingdom,29.0
82401,united kingdom,17.0
82402,usa,44.0
82403,usa,21.0
82404,usa,60.0
82405,usa,70.0
82406,italy,55.0
82408,italy,56.0
82409,usa,18.0
82410,germany,29.0
82411,hong kong,23.0
82412,australia,24.0
82413,usa,43.0
82414,usa,56.0
82415,united kingdom,30.0
82417,netherlands,21.0
82418,usa,20.0
82419,united kingdom,28.0
82420,usa,42.0
82421,australia,40.0
82425,portugal,28.0
82428,argentina,16.0
82429,usa,21.0
82430,spain,22.0
82432,canada,31.0
82435,spain,24.0
82438,canada,27.0
82439,usa,31.0
82440,france,19.0
82441,united kingdom,43.0
82442,france,46.0
82443,france,38.0
82447,usa,48.0
82448,argentina,13.0
82449,luxembourg,23.0
82450,spain,36.0
82451,spain,26.0
82452,netherlands,54.0
82453,usa,49.0
82454,italy,23.0
82455,germany,27.0
82456,usa,27.0
82460,usa,21.0
82462,united kingdom,30.0
82463,usa,53.0
82465,germany,22.0
82467,usa,52.0
82468,usa,32.0
82471,germany,19.0
82472,usa,22.0
82473,usa,40.0
82474,usa,53.0
82475,usa,77.0
82476,usa,17.0
82477,usa,19.0
82478,usa,36.0
82480,usa,37.0
82482,usa,17.0
82483,usa,60.0
82485,usa,66.0
82486,usa,69.0
82490,usa,55.0
82492,usa,61.0
82494,usa,62.0
82495,usa,52.0
82496,usa,55.0
82499,usa,22.0
82500,croatia,18.0
82502,philippines,29.0
82503,usa,39.0
82504,netherlands,40.0
82505,netherlands,10.0
82506,portugal,31.0
82507,usa,53.0
82508,spain,23.0
82509,sweden,39.0
82510,usa,22.0
82512,united kingdom,46.0
82514,australia,39.0
82515,portugal,28.0
82517,australia,37.0
82518,germany,45.0
82519,switzerland,31.0
82520,usa,30.0
82522,germany,27.0
82524,usa,26.0
82525,usa,38.0
82526,united kingdom,28.0
82527,usa,59.0
82529,new zealand,22.0
82530,united kingdom,54.0
82531,usa,19.0
82532,usa,13.0
82533,usa,53.0
82534,dublin,15.0
82535,australia,16.0
82536,united kingdom,21.0
82538,australia,34.0
82539,usa,37.0
82540,spain,28.0
82542,germany,19.0
82543,usa,16.0
82544,usa,54.0
82545,united kingdom,32.0
82546,usa,32.0
82547,usa,38.0
82549,usa,62.0
82551,usa,43.0
82553,sultanate of oman,51.0
82554,usa,32.0
82555,australia,44.0
82556,germany,25.0
82558,new zealand,42.0
82559,usa,18.0
82560,germany,24.0
82561,usa,38.0
82562,usa,30.0
82564,usa,57.0
82565,usa,24.0
82566,usa,26.0
82567,usa,62.0
82569,canada,63.0
82570,usa,14.0
82571,india,27.0
82572,usa,51.0
82574,finland,25.0
82575,germany,21.0
82576,france,24.0
82577,usa,44.0
82579,usa,29.0
82580,united kingdom,63.0
82581,canada,40.0
82582,usa,48.0
82583,canada,25.0
82584,usa,29.0
82585,usa,34.0
82586,usa,16.0
82589,canada,24.0
82590,swieleh,19.0
82591,germany,39.0
82592,usa,53.0
82593,united kingdom,35.0
82594,usa,12.0
82595,usa,37.0
82596,united kingdom,9.0
82597,south africa,40.0
82598,usa,40.0
82599,usa,30.0
82601,usa,48.0
82603,usa,30.0
82606,australia,31.0
82609,united kingdom,37.0
82610,slovakia,20.0
82611,canada,45.0
82613,usa,32.0
82614,usa,60.0
82615,canada,46.0
82616,usa,68.0
82617,usa,50.0
82618,usa,38.0
82620,usa,57.0
82621,usa,26.0
82622,usa,67.0
82623,usa,20.0
82624,spain,24.0
82625,italy,31.0
82626,usa,22.0
82627,usa,52.0
82630,canada,28.0
82631,usa,39.0
82632,usa,44.0
82633,italy,29.0
82634,canada,15.0
82636,usa,11.0
82637,usa,49.0
82638,germany,36.0
82639,usa,55.0
82641,brazil,39.0
82644,usa,20.0
82646,united kingdom,27.0
82648,united kingdom,45.0
82650,portugal,18.0
82651,canada,45.0
82652,usa,63.0
82653,usa,53.0
82654,romania,22.0
82655,australia,61.0
82656,usa,42.0
82658,usa,30.0
82661,afghanistan,48.0
82662,new zealand,29.0
82663,australia,23.0
82664,italy,32.0
82666,usa,25.0
82667,usa,54.0
82668,usa,54.0
82669,usa,25.0
82670,germany,26.0
82671,usa,64.0
82672,usa,32.0
82674,usa,56.0
82675,usa,57.0
82677,usa,28.0
82679,united kingdom,63.0
82681,finland,30.0
82682,germany,35.0
82683,germany,22.0
82685,usa,28.0
82686,usa,48.0
82687,sweden,55.0
82688,australia,33.0
82689,united kingdom,28.0
82690,united kingdom,34.0
82691,usa,53.0
82692,usa,27.0
82694,canada,44.0
82696,united kingdom,27.0
82697,new zealand,38.0
82698,united kingdom,26.0
82700,sri lanka,35.0
82701,united kingdom,18.0
82703,united kingdom,20.0
82704,united kingdom,44.0
82705,united kingdom,27.0
82706,italy,62.0
82707,usa,34.0
82708,canada,28.0
82710,usa,16.0
82712,canada,56.0
82713,new zealand,27.0
82714,usa,64.0
82715,united kingdom,44.0
82716,australia,46.0
82718,usa,48.0
82719,united kingdom,25.0
82721,united kingdom,33.0
82722,australia,56.0
82724,spain,24.0
82725,spain,24.0
82727,usa,36.0
82729,australia,22.0
82730,usa,40.0
82731,usa,14.0
82732,usa,43.0
82733,canada,47.0
82734,usa,54.0
82735,canada,44.0
82736,usa,62.0
82737,finland,52.0
82738,germany,31.0
82741,austria,56.0
82742,canada,23.0
82744,italy,31.0
82746,usa,64.0
82747,athens,37.0
82748,switzerland,28.0
82749,netherlands,50.0
82753,usa,49.0
82754,united kingdom,39.0
82755,united kingdom,29.0
82758,usa,29.0
82759,turkey,25.0
82760,bulgaria,21.0
82761,usa,51.0
82764,belgium,19.0
82765,united kingdom,27.0
82766,italy,16.0
82768,spain,25.0
82770,italy,26.0
82771,canada,36.0
82773,usa,45.0
82774,usa,48.0
82775,canada,20.0
82777,usa,15.0
82781,usa,42.0
82782,usa,17.0
82784,usa,22.0
82786,usa,47.0
82788,australia,14.0
82790,usa,23.0
82792,usa,46.0
82794,australia,48.0
82796,usa,41.0
82798,usa,56.0
82799,usa,19.0
82801,usa,36.0
82803,australia,29.0
82804,usa,25.0
82805,united kingdom,18.0
82806,usa,35.0
82807,usa,54.0
82809,united kingdom,42.0
82810,australia,18.0
82811,italy,40.0
82812,spain,48.0
82813,turkey,32.0
82814,usa,36.0
82816,germany,33.0
82817,new zealand,30.0
82818,usa,71.0
82820,usa,24.0
82821,usa,56.0
82822,canada,34.0
82823,finland,15.0
82824,united kingdom,84.0
82826,usa,23.0
82828,united kingdom,54.0
82829,china,24.0
82830,usa,31.0
82832,usa,31.0
82833,germany,28.0
82835,germany,16.0
82836,usa,32.0
82837,usa,23.0
82838,canada,18.0
82842,usa,22.0
82843,canada,31.0
82845,canada,47.0
82847,usa,23.0
82848,usa,61.0
82849,usa,25.0
82850,usa,44.0
82852,usa,60.0
82853,canada,57.0
82855,usa,47.0
82857,usa,70.0
82858,china,16.0
82860,usa,39.0
82861,usa,21.0
82862,spain,33.0
82863,usa,30.0
82865,germany,62.0
82866,usa,31.0
82867,usa,52.0
82869,usa,66.0
82870,usa,29.0
82871,china,30.0
82873,usa,47.0
82874,sweden,21.0
82875,new zealand,70.0
82876,usa,40.0
82878,usa,49.0
82880,usa,54.0
82881,new zealand,26.0
82883,canada,50.0
82885,usa,32.0
82887,canada,60.0
82890,china,27.0
82891,usa,52.0
82892,malaysia,28.0
82894,usa,42.0
82895,usa,43.0
82896,malaysia,15.0
82897,usa,47.0
82900,australia,57.0
82902,united kingdom,23.0
82904,germany,40.0
82906,usa,32.0
82908,usa,21.0
82909,canada,21.0
82910,usa,36.0
82913,usa,32.0
82915,canada,32.0
82916,germany,26.0
82918,new zealand,54.0
82920,australia,59.0
82921,usa,49.0
82922,usa,42.0
82923,singapore,47.0
82927,netherlands,26.0
82929,usa,24.0
82930,canada,22.0
82932,usa,26.0
82933,australia,30.0
82934,usa,54.0
82935,usa,20.0
82936,canada,33.0
82937,united kingdom,19.0
82940,south korea,32.0
82941,usa,38.0
82943,usa,44.0
82944,germany,53.0
82945,usa,25.0
82947,china,25.0
82948,usa,16.0
82949,usa,69.0
82950,usa,37.0
82951,united kingdom,40.0
82953,china,27.0
82954,usa,30.0
82956,united kingdom,17.0
82957,usa,43.0
82959,usa,12.0
82960,usa,55.0
82962,australia,53.0
82964,usa,30.0
82965,canada,52.0
82966,usa,36.0
82969,australia,46.0
82970,usa,33.0
82971,usa,41.0
82972,usa,58.0
82973,canada,53.0
82974,usa,35.0
82975,usa,51.0
82976,usa,31.0
82979,china,28.0
82980,usa,49.0
82981,usa,36.0
82982,usa,41.0
82983,usa,14.0
82985,usa,21.0
82986,netherlands,35.0
82988,germany,21.0
82989,spain,31.0
82990,usa,42.0
82991,canada,77.0
82992,brazil,21.0
82993,canada,43.0
82994,usa,57.0
82995,spain,28.0
82996,usa,20.0
82997,usa,14.0
82998,usa,44.0
82999,italy,29.0
83000,usa,71.0
83003,brazil,20.0
83004,italy,20.0
83005,italy,31.0
83008,italy,23.0
83010,usa,72.0
83012,usa,33.0
83013,canada,32.0
83015,usa,23.0
83016,usa,32.0
83017,chile,27.0
83018,usa,21.0
83019,portugal,23.0
83020,canada,74.0
83022,australia,18.0
83023,united kingdom,31.0
83024,usa,52.0
83025,usa,34.0
83027,japan,23.0
83028,usa,28.0
83029,denmark,36.0
83030,bermuda,18.0
83032,usa,34.0
83033,usa,39.0
83035,usa,21.0
83036,usa,37.0
83037,usa,35.0
83038,italy,33.0
83039,usa,26.0
83040,denmark,52.0
83043,usa,59.0
83044,usa,19.0
83045,usa,35.0
83047,germany,59.0
83050,canada,49.0
83051,germany,26.0
83053,usa,26.0
83054,usa,31.0
83055,argentina,25.0
83057,spain,26.0
83058,germany,27.0
83059,italy,26.0
83061,italy,62.0
83062,italy,23.0
83063,usa,34.0
83064,canada,21.0
83065,spain,35.0
83068,germany,18.0
83070,usa,38.0
83072,usa,4.0
83073,canada,34.0
83074,germany,14.0
83075,spain,25.0
83076,united kingdom,43.0
83079,usa,20.0
83080,usa,18.0
83081,austria,45.0
83082,usa,37.0
83083,usa,25.0
83085,usa,21.0
83086,canada,36.0
83087,usa,22.0
83088,italy,49.0
83089,united kingdom,19.0
83090,usa,39.0
83091,usa,39.0
83093,united kingdom,33.0
83094,france,31.0
83095,brazil,23.0
83097,new zealand,47.0
83099,usa,33.0
83100,usa,29.0
83101,france,56.0
83102,auvers sur oise,23.0
83104,usa,46.0
83105,belgium,28.0
83106,spain,31.0
83107,usa,26.0
83108,spain,23.0
83111,united kingdom,19.0
83112,canada,43.0
83114,usa,24.0
83115,usa,32.0
83116,usa,25.0
83117,sweden,24.0
83118,usa,46.0
83119,united kingdom,34.0
83120,canada,36.0
83121,usa,63.0
83122,usa,51.0
83123,united kingdom,35.0
83124,spain,22.0
83126,usa,18.0
83127,canada,22.0
83128,usa,43.0
83129,canada,40.0
83130,usa,53.0
83131,usa,46.0
83132,usa,60.0
83133,spain,41.0
83136,usa,23.0
83137,usa,32.0
83138,usa,24.0
83139,italy,29.0
83140,usa,32.0
83141,italy,41.0
83142,italy,16.0
83143,italy,29.0
83145,spain,26.0
83146,united kingdom,24.0
83147,usa,31.0
83148,greece,19.0
83149,usa,36.0
83150,netherlands,15.0
83151,belgium,25.0
83153,france,20.0
83154,australia,56.0
83155,canada,48.0
83159,united kingdom,23.0
83161,canada,23.0
83162,usa,34.0
83163,united kingdom,30.0
83165,spain,36.0
83167,usa,51.0
83168,usa,43.0
83169,uzbekistan,45.0
83170,canada,32.0
83172,spain,30.0
83173,ireland,31.0
83174,france,31.0
83175,australia,35.0
83176,españa,21.0
83177,germany,19.0
83179,spain,23.0
83180,usa,26.0
83181,portugal,27.0
83182,spain,16.0
83183,australia,62.0
83184,spain,48.0
83187,italy,44.0
83188,germany,31.0
83189,usa,17.0
83190,brazil,43.0
83191,denmark,16.0
83193,usa,50.0
83194,usa,30.0
83195,fiji,15.0
83196,belgium,26.0
83197,germany,34.0
83198,united kingdom,25.0
83202,germany,24.0
83203,usa,31.0
83204,australia,40.0
83206,canada,36.0
83207,united kingdom,29.0
83209,usa,20.0
83210,usa,48.0
83211,australia,40.0
83212,usa,16.0
83213,canada,38.0
83215,canada,31.0
83216,usa,68.0
83217,usa,35.0
83218,united kingdom,21.0
83219,australia,15.0
83221,usa,33.0
83222,canada,21.0
83224,usa,51.0
83225,saudi arabia,40.0
83226,usa,55.0
83227,usa,28.0
83229,usa,32.0
83230,usa,54.0
83232,new zealand,15.0
83233,germany,15.0
83234,usa,22.0
83237,usa,37.0
83240,italy,54.0
83241,usa,20.0
83242,usa,40.0
83243,china,29.0
83246,usa,18.0
83247,usa,38.0
83248,usa,27.0
83249,netherlands,20.0
83250,usa,42.0
83253,usa,32.0
83254,germany,27.0
83255,united kingdom,26.0
83256,usa,50.0
83257,usa,23.0
83259,usa,33.0
83260,usa,68.0
83262,united kingdom,39.0
83263,canada,52.0
83264,canada,33.0
83266,usa,24.0
83267,usa,53.0
83268,usa,24.0
83269,usa,74.0
83270,usa,23.0
83271,holy see,10.0
83272,united kingdom,42.0
83274,switzerland,68.0
83275,usa,70.0
83276,united kingdom,46.0
83277,portugal,26.0
83279,usa,28.0
83280,usa,53.0
83281,australia,23.0
83282,usa,51.0
83284,canada,18.0
83285,italy,24.0
83286,usa,22.0
83288,usa,42.0
83289,united kingdom,43.0
83290,italy,55.0
83291,usa,61.0
83292,usa,20.0
83293,usa,28.0
83294,australia,46.0
83295,usa,50.0
83296,united kingdom,25.0
83298,mexico,28.0
83299,france,58.0
83300,canada,25.0
83301,united kingdom,22.0
83302,usa,22.0
83305,usa,20.0
83307,canada,29.0
83308,germany,23.0
83309,usa,36.0
83310,argentina,45.0
83311,usa,64.0
83312,usa,36.0
83313,united kingdom,35.0
83316,sweden,25.0
83317,united kingdom,20.0
83320,netherlands,45.0
83321,usa,42.0
83322,usa,21.0
83324,new zealand,62.0
83325,usa,59.0
83326,usa,46.0
83327,usa,51.0
83330,usa,41.0
83331,usa,44.0
83332,belgium,19.0
83334,usa,31.0
83335,usa,16.0
83336,canada,49.0
83338,usa,33.0
83339,south africa,54.0
83340,italy,33.0
83342,usa,31.0
83343,usa,25.0
83344,united kingdom,35.0
83347,usa,32.0
83348,usa,41.0
83349,usa,33.0
83350,canada,23.0
83351,usa,43.0
83352,usa,48.0
83353,switzerland,57.0
83354,usa,45.0
83355,canada,32.0
83356,usa,104.0
83357,denmark,36.0
83358,canada,74.0
83359,united kingdom,49.0
83360,australia,34.0
83361,usa,46.0
83362,united kingdom,29.0
83365,kenya,44.0
83367,usa,25.0
83368,usa,18.0
83369,usa,27.0
83370,barcelona,31.0
83372,italy,55.0
83373,united kingdom,35.0
83375,usa,67.0
83376,canada,21.0
83378,usa,31.0
83380,usa,42.0
83381,usa,21.0
83382,usa,45.0
83384,usa,61.0
83385,canada,42.0
83386,usa,34.0
83387,usa,44.0
83389,usa,37.0
83391,indonesia,23.0
83392,usa,94.0
83393,usa,13.0
83394,usa,38.0
83395,italy,34.0
83396,united kingdom,53.0
83398,usa,57.0
83399,france,33.0
83401,new zealand,24.0
83402,usa,20.0
83403,usa,71.0
83404,usa,14.0
83405,usa,67.0
83407,usa,15.0
83408,usa,49.0
83409,usa,53.0
83410,usa,48.0
83411,usa,61.0
83412,canada,22.0
83413,slovenia,57.0
83414,portugal,34.0
83415,usa,30.0
83416,united kingdom,59.0
83419,canada,45.0
83420,usa,42.0
83421,usa,32.0
83422,usa,32.0
83423,usa,72.0
83424,germany,38.0
83425,canada,29.0
83426,usa,40.0
83429,usa,43.0
83430,spain,47.0
83432,usa,32.0
83434,italy,46.0
83435,bahamas,44.0
83437,usa,16.0
83438,ireland,14.0
83439,australia,32.0
83440,usa,30.0
83441,usa,27.0
83442,usa,62.0
83444,germany,23.0
83445,usa,34.0
83446,usa,19.0
83450,usa,44.0
83451,usa,18.0
83452,usa,26.0
83453,germany,29.0
83454,usa,46.0
83455,germany,1.0
83456,finland,44.0
83458,italy,22.0
83460,germany,31.0
83461,usa,47.0
83463,spain,33.0
83464,italy,34.0
83465,canada,30.0
83466,usa,38.0
83468,canada,30.0
83469,usa,28.0
83472,usa,23.0
83474,italy,93.0
83475,usa,69.0
83476,netherlands,51.0
83478,australia,46.0
83479,usa,54.0
83480,usa,43.0
83481,united kingdom,40.0
83482,canada,44.0
83483,usa,33.0
83485,united kingdom,31.0
83486,portugal,30.0
83487,usa,57.0
83489,united kingdom,18.0
83490,usa,19.0
83492,new zealand,58.0
83494,canada,43.0
83495,canada,19.0
83499,canada,34.0
83500,germany,42.0
83502,finland,25.0
83503,usa,30.0
83505,italy,26.0
83508,usa,21.0
83509,spain,30.0
83510,italy,22.0
83511,ireland,13.0
83512,usa,54.0
83513,usa,59.0
83514,germany,28.0
83515,canada,36.0
83519,australia,45.0
83520,australia,20.0
83524,usa,26.0
83526,spain,13.0
83527,usa,40.0
83529,usa,76.0
83532,usa,43.0
83533,usa,58.0
83534,usa,45.0
83535,usa,42.0
83536,usa,64.0
83537,usa,18.0
83538,usa,25.0
83539,canada,32.0
83540,cameroon,36.0
83541,spain,44.0
83544,usa,31.0
83545,usa,56.0
83546,united kingdom,60.0
83548,italy,35.0
83550,canada,25.0
83551,usa,37.0
83552,usa,24.0
83553,usa,38.0
83554,spain,41.0
83555,spain,27.0
83556,italy,29.0
83557,france,44.0
83558,andorra,28.0
83562,netherlands,28.0
83563,usa,32.0
83565,usa,43.0
83568,france,51.0
83569,canada,49.0
83570,united kingdom,31.0
83571,usa,41.0
83572,usa,28.0
83575,germany,30.0
83576,usa,60.0
83577,usa,33.0
83579,australia,41.0
83580,usa,41.0
83581,usa,32.0
83582,usa,30.0
83583,germany,23.0
83584,usa,32.0
83585,australia,17.0
83586,united kingdom,16.0
83588,australia,33.0
83590,netherlands,46.0
83591,usa,38.0
83592,usa,32.0
83594,usa,54.0
83595,usa,29.0
83597,bahamas,103.0
83598,usa,20.0
83599,united kingdom,51.0
83601,united kingdom,31.0
83602,usa,32.0
83603,usa,18.0
83605,usa,63.0
83607,usa,55.0
83608,usa,37.0
83609,usa,24.0
83610,canada,29.0
83611,usa,83.0
83612,usa,37.0
83613,usa,49.0
83614,united kingdom,46.0
83615,canada,57.0
83617,new zealand,32.0
83618,usa,35.0
83620,usa,51.0
83621,usa,54.0
83622,usa,31.0
83623,usa,63.0
83624,usa,18.0
83625,usa,32.0
83626,italy,50.0
83628,usa,35.0
83629,france,39.0
83630,usa,29.0
83631,usa,41.0
83632,australia,29.0
83633,usa,25.0
83634,australia,39.0
83635,usa,17.0
83638,canada,23.0
83639,usa,27.0
83640,usa,21.0
83641,usa,56.0
83642,usa,18.0
83643,australia,22.0
83645,usa,34.0
83647,usa,35.0
83649,canada,33.0
83650,usa,17.0
83652,australia,50.0
83653,united kingdom,64.0
83654,canada,20.0
83655,usa,33.0
83656,australia,35.0
83657,usa,39.0
83658,italy,25.0
83660,canada,23.0
83662,usa,25.0
83663,canada,21.0
83664,usa,26.0
83665,usa,19.0
83668,usa,55.0
83669,usa,20.0
83670,australia,25.0
83672,usa,65.0
83673,usa,29.0
83675,usa,21.0
83676,usa,68.0
83677,usa,26.0
83678,usa,21.0
83679,usa,32.0
83680,usa,27.0
83682,usa,36.0
83683,australia,36.0
83685,usa,17.0
83686,germany,54.0
83687,usa,50.0
83688,canada,32.0
83690,usa,23.0
83691,usa,52.0
83694,united kingdom,28.0
83695,usa,27.0
83696,kuwait,31.0
83697,usa,37.0
83699,usa,17.0
83703,switzerland,31.0
83704,usa,23.0
83705,usa,60.0
83706,usa,67.0
83708,usa,17.0
83709,usa,57.0
83710,australia,40.0
83711,usa,48.0
83712,singapore,32.0
83714,germany,19.0
83715,usa,48.0
83717,australia,16.0
83718,usa,28.0
83719,spain,41.0
83720,usa,21.0
83721,canada,29.0
83724,usa,28.0
83725,usa,36.0
83727,usa,66.0
83728,usa,20.0
83729,italy,23.0
83731,canada,30.0
83732,usa,26.0
83733,usa,67.0
83734,usa,42.0
